id,type,priority,status,milestone,wave,epic_ids,domain,persona,statement,verification,source_scope
URS-F-0001,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,The system shall maintain a version-pinned parity inventory against Kestra v1.3.30 and its documented public behavior.,"Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0002,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,"The system shall record source provenance for every compatibility requirement and prohibit copying source code, UI assets, trademarks, or documentation prose.","Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0003,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,The system shall separate reference researchers from implementers when a strict clean-room mode is selected.,"Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0004,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,The system shall run automated similarity and license scans before every release.,"Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0005,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,"The system shall document trademark-safe naming, attribution, notices, and contribution provenance.","Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0006,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,"The system shall track parity gaps, intentional differences, deferred features, and evidence in a machine-readable matrix.","Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0007,Functional,Must,Proposed,M0,0,EPIC-000,governance,Maintainer,The system shall provide a repeatable procedure for rebasing the parity target to a later upstream release.,"Authorization, audit and administrative end-to-end tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0008,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,"The system shall provide documented local development commands for backend, frontend, workers, plugins and documentation.",Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0009,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,"The system shall enforce formatting, linting, typing, tests, dependency review and secret scanning in continuous integration.",Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0010,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,"The system shall build reproducible source archives, containers, software bills of materials and signed release provenance.",Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0011,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,The system shall apply semantic versioning and publish migration notes for every incompatible change.,Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0012,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,"The system shall support conventional commits, pull request templates, issue forms and ownership rules.",Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0013,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,"The system shall validate repository structure, generated files, requirement traceability and architectural decision status.",Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0014,Functional,Must,Proposed,M0,0,EPIC-001,engineering,Contributor,The system shall provide development containers and a Docker Compose reference environment.,Repository validation and CI tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0015,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,"The system shall define canonical identifiers for tenants, namespaces, flows, revisions, executions, task runs, triggers, workers, plugins and assets.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0016,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,"The system shall validate identifier syntax, reserved words, length limits and case behavior consistently across all interfaces.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0017,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,The system shall use sortable globally unique identifiers for mutable runtime records while preserving user-facing natural keys.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0018,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,"The system shall represent labels, annotations, timestamps, actor identity and resource version on every managed resource.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0019,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,The system shall support optimistic concurrency through entity versions or entity tags.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0020,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,"The system shall define deletion, archival, tombstone and restoration semantics for each resource type.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0021,Functional,Must,Verified,M0,0,EPIC-002,domain,Platform developer,"The system shall serialize resources deterministically for hashing, diffing, signing and cache keys.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0022,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,"The system shall load configuration from files, environment variables, command-line flags and secret references with a documented precedence order.",Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0023,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,The system shall validate all configuration at startup and reject unsafe or contradictory combinations.,Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0024,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,"The system shall redact secrets from diagnostics, API responses, logs and crash reports.",Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0025,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,The system shall support dynamic reload only for explicitly reloadable settings.,Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0026,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,The system shall expose effective non-secret configuration and provenance to authorized administrators.,Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0027,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,"The system shall provide feature flags with tenant, namespace and instance scopes.",Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0028,Functional,Must,Proposed,M0,0,EPIC-003,platform,Operator,The system shall support deprecation warnings and automated migration of renamed settings.,Configuration and service integration tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0029,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall parse YAML and JSON flow definitions into a versioned canonical intermediate representation.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0030,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,"The system shall validate required fields, types, uniqueness, references, cycles and plugin-specific properties.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0031,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall preserve comments and stable formatting where practical during visual or programmatic edits.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0032,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall generate JSON Schema and editor metadata for every core and plugin-defined resource.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0033,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,"The system shall support namespaces, flow identifiers, descriptions, labels, inputs, variables, tasks, triggers, errors, finally blocks and outputs.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0034,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall return machine-readable validation errors with source ranges and remediation hints.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0035,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall support forward-compatible extension fields while rejecting unknown core fields by policy.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0036,Functional,Must,Verified,M0,0,EPIC-004,dsl,Workflow author,The system shall calculate deterministic semantic hashes that ignore non-semantic formatting.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0037,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,"The system shall render scalar, collection and object values against a documented execution context.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0038,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,"The system shall support conditions, filters, functions, date operations, collection operations, JSON and YAML conversion and safe string handling.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0039,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,"The system shall expose flow, execution, task-run, trigger, input, output, variable, label, namespace, secret and key-value contexts.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0040,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,The system shall distinguish compile-time validation from runtime rendering failures.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0041,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,"The system shall sandbox expression evaluation with bounded time, memory, recursion and output size.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
