requirement_id,requirement_type,priority,epic_id,epic_title,milestone,wave,verification,status
URS-F-0001,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0002,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0003,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0004,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0005,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0006,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0007,Functional,Must,EPIC-000,Clean-room governance and parity baseline,M0,0,"Authorization, audit and administrative end-to-end tests",Verified
URS-F-0008,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0009,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0010,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0011,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0012,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0013,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0014,Functional,Must,EPIC-001,"Repository engineering, CI and release foundation",M0,0,Repository validation and CI tests,Proposed
URS-F-0015,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0016,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0017,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0018,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0019,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0020,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0021,Functional,Must,EPIC-002,Canonical resource model and identifiers,M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0022,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0023,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0024,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0025,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0026,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0027,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0028,Functional,Must,EPIC-003,Configuration and feature flag system,M0,0,Configuration and service integration tests,Verified
URS-F-0029,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
